symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak,ml_accuracy,ml_bullish_accuracy,ml_bearish_accuracy
NVDA,10000,12073.098121521183,2073.098121521183,20.73098121521184,0.7000944829814282,15.684142754819819,5.046838460392022,0.020606096697283256,2.15071671238277,0.9132786996695326,9.639103604790458,1287.8783662698734,13,7,6,53.84615384615385,526.8453721338124,269.1365805692505,1.9575390718700605,2.283795583848404,159.46908627086026,1820.0683011746598,-927.1482977736912,3.076923076923077,13,6,2,49.38775510204081,55.03875968992248,43.103448275862064
XOM,10000,12026.70092410128,2026.7009241012802,20.26700924101281,0.6142720178106353,15.684130953073193,4.582878287939618,0.023630910747490713,3.4392815874472427,1.9859582225021026,5.892803111842816,679.7640941398113,12,9,3,75.0,300.0895212181054,224.70158895388923,1.3355024439977878,4.0065073319933635,168.89174367510677,745.6485256937036,-317.3262596207146,6.75,15,4,1,50.20576131687243,61.47540983606557,38.84297520661157
CVX,10000,11713.880609614036,1713.880609614036,17.138806096140357,0.526317455734393,15.684130953073193,1.4546751430671634,0.022182589372954052,3.0010584294445795,1.8712654014824492,5.710920496577042,687.3432507034777,11,7,3,63.63636363636363,327.4014525183567,185.9065018414091,1.7611081337954086,4.1092523121892865,140.74401456935095,657.033535223389,-223.7999699379102,9.4,22,4,2,51.6260162601626,62.22222222222222,38.73873873873874
COP,10000,9995.003603074825,-4.9963969251748495,-0.04996396925175395,-0.0016584095773541918,15.684142754819819,-15.734106724071573,0.0009104156841512481,-0.0035486828725370765,0.04710574575523547,14.079581367616818,1513.2148568726534,12,7,4,58.333333333333336,213.8413078487497,359.1963406643597,0.5953326457982135,1.0418321301468736,-24.924379031712547,525.0467527536657,-968.1720781797213,7.363636363636363,16,3,2,51.440329218106996,60.0,43.08943089430895
EOG,10000,8426.830907180803,-1573.1690928191965,-15.731690928191966,-0.566383240863022,15.684130953073193,-31.41582188126516,-0.018111027018075404,-0.8667314412617626,-2.577734410547493,18.150594497056925,1830.6468156918945,6,0,5,0.0,0.0,346.2337941497766,0.0,0.0,-346.2337941497766,0.0,-927.0460755020063,7.0,14,0,5,43.7246963562753,42.62295081967213,44.800000000000004
SLB,10000,9278.049624406345,-721.9503755936548,-7.219503755936552,-0.24835190617801262,15.684130953073193,-22.903634709009744,-0.005112290375931147,-0.36639422858591597,-0.5610327938085221,19.70419617088386,2013.6042994195686,10,4,6,40.0,283.4772701263428,309.3099093498378,0.9164829886058463,0.6109886590705642,-72.19503755936557,775.8596115112305,-846.8702903514616,7.8,19,4,5,51.02040816326531,56.71641791044776,44.14414414414414
UNH,10000,10861.421858678903,861.4218586789029,8.614218586789036,0.2745835485711057,15.684130953073193,-7.069912366284157,0.009527165192934266,1.2751023323956454,0.9523768786797745,6.755707654149417,756.5944053260464,11,5,6,45.45454545454545,293.67158747538974,101.15601311634047,2.9031550219128874,2.419295851594073,78.3110780617187,762.6681615822006,-249.99927925751626,6.0,19,2,3,48.54771784232365,50.36496350364964,46.15384615384615
LLY,10000,9337.051683190037,-662.9483168099632,-6.629483168099637,-0.22736594237052765,15.684130953073193,-22.31361412117283,-0.0031098475456458924,-0.33503301027790444,-0.41278889295661614,19.787552165682385,2068.449034479636,12,7,5,58.333333333333336,229.9474609644107,454.5161087121677,0.5059170765497114,0.708283907169596,-55.245693067496916,931.4760904539161,-1119.3912518695413,6.75,22,3,2,51.83673469387755,59.23076923076923,43.47826086956522
JNJ,10000,11215.620995100877,1215.6209951008768,12.156209951008767,0.381421593705511,15.684130953073193,-3.527921002064426,0.017785629203075137,2.498205069386852,1.4701556379267304,4.865977617278766,504.8675537109375,15,9,6,60.0,208.6402228783685,110.35683513407282,1.8905962881672975,2.8358944322509463,81.04139967339196,469.15972900390625,-378.15000706047147,3.7333333333333334,11,3,2,44.71544715447154,60.0,28.92561983471074
JPM,10000,10493.085343968374,493.0853439683742,4.930853439683736,0.15984733226117598,15.684130953073193,-10.753277513389458,0.009503357256966705,0.7981749937765242,0.6355037440614908,6.177659633702197,690.9091108721768,10,5,5,50.0,228.35765094022955,129.7405821465555,1.7601096523698019,1.7601096523698019,49.30853439683702,616.1744788707032,-285.06435639289424,4.6,14,3,4,47.755102040816325,58.47457627118644,37.79527559055118
