symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
NFLX,10000,11519.03779220581,1519.0377922058105,15.190377922058108,7.341868670331508,50.068517803902424,-34.87813988184432,0.4474384013209677,1.3132318368374833,0.6127099119554861,11.567171535103414,1436.4937744140625,8,4,4,50.0,977.9453439712524,598.1858959197998,1.6348518924330637,1.6348518924330637,189.87972402572632,1600.0682983398438,-658.7203369140625,21.375,38,3,2
IONQ,10000,21893.814207553864,11893.814207553864,118.93814207553865,48.080886546548186,50.068517803902424,68.86962427163623,0.5726699437030037,2.972044337253797,0.7325709720666983,40.018966266646906,14494.794757843018,39,15,24,38.46153846153847,3149.03048286438,1472.5684598088264,2.138461177739198,1.3365382360869988,304.9695950654841,7077.948844909668,-4214.28010559082,2.923076923076923,12,4,5
META,10000,8121.029862755071,-1878.970137244929,-18.789701372449287,-9.901885201953121,50.068517803902424,-68.85821917635171,-0.7130421532680365,-0.7031953201969965,-1.9136536655684873,26.72045850246195,2734.9019921919,11,2,9,18.181818181818183,308.94709971102094,277.4293707407747,1.1136063167576293,0.24746807039058433,-170.81546702226638,596.5541725665731,-485.6449668105147,15.090909090909092,51,1,7
AMAT,10000,12306.513531547378,2306.513531547378,23.065135315473782,10.957615278465083,50.068517803902424,-27.00338248842864,0.6588185517590918,0.802502642714925,0.47705713605421207,28.7415069904851,3488.06306444077,14,5,8,35.714285714285715,1091.2873531631883,505.4779416676033,2.1589218108370134,1.3493261317731333,64.79537791482227,1380.654205325013,-1059.8810661934924,12.384615384615385,25,1,4
TTWO,10000,12304.119155883789,2304.119155883789,23.04119155883788,10.946799245309503,50.068517803902424,-27.027326245064543,0.6631286137850588,2.003691413353024,1.2097893569203277,11.499371313010824,1358.2603607177734,11,6,4,54.54545454545454,779.5266393025717,466.06009674072266,1.672588245065391,2.5088823675980865,213.3508501919833,1452.07958984375,-785.1604614257812,19.5,40,3,2
RGTI,10000,60418.06534290314,50418.06534290314,504.18065342903134,146.24074420304404,50.068517803902424,454.11213562512893,0.7082840766185782,12.563494802075144,1.1249990689634264,40.13060548612274,29777.157135009766,29,13,16,44.827586206896555,8445.073841480109,3710.493412271142,2.2759975300187896,1.8492479931402663,1738.5539773414878,25618.739190101624,-19340.861785888672,2.793103448275862,10,6,7
LMT,10000,12435.714129190585,2435.7141291905846,24.357141291905847,11.539699746284215,50.068517803902424,-25.711376511996576,0.45943918726504573,0.9966766014002939,0.6111627682538794,24.43835970231965,3120.59080375703,10,4,5,40.0,1333.754149461796,681.6205034969449,1.9567400666781352,1.565392053342508,124.52935768655146,1523.8006591796875,-1477.7482586847113,19.0,54,2,4
SCHD,10000,10301.824539934943,301.82453993494346,3.0182453993494285,1.50090429371319,50.068517803902424,-47.050272404553,0.015355346757294192,0.3707638101766552,-0.44586230243372693,8.140614904975074,853.461060988895,8,3,4,37.5,194.08496469472104,207.31880110418027,0.9361667328820358,0.7021250496615268,-56.79238892959229,264.7107229050472,-287.0915683991179,29.714285714285715,74,2,2
COST,10000,9628.268463524952,-371.7315364750484,-3.717315364750484,-1.8799542836092864,50.068517803902424,-53.78583316865291,-0.5543648505941311,-0.21445828876082562,-0.3776192455191565,17.33351220057629,1962.961148450613,9,2,6,22.22222222222222,745.0846251937896,348.2367502030163,2.139592173311454,0.7131973911038181,-105.2764445592816,1288.94424118299,-563.5789668337834,20.5,35,1,5
AI,10000,12105.426089286804,2105.426089286804,21.054260892868037,10.045560149612864,50.068517803902424,-29.014256911034387,0.3271907789877551,0.6768935899159251,0.3313773004559267,31.104240321559438,5465.214173316956,21,8,13,38.095238095238095,1684.8575723171234,874.879576096168,1.9258165561884388,1.185117880731347,100.25838520413356,3118.839874267578,-1486.9348812103271,6.0476190476190474,18,2,5
ADBE,10000,7367.650299072266,-2632.3497009277344,-26.32349700927734,-14.191043164219852,50.068517803902424,-76.39201481317977,-2.2302001242388854,-0.8337274248202796,-2.4817742758539443,31.573265105141168,3399.559783935547,7,2,5,28.57142857142857,34.599639892578125,540.3097961425781,0.06403666959139845,0.025614667836559378,-376.04995727539057,61.0294189453125,-1173.91943359375,13.428571428571429,23,1,3
MSFT,10000,10269.523964248781,269.52396424878134,2.6952396424878122,1.3413388924370162,50.068517803902424,-47.37327816141461,0.025663068262866042,0.25102958590491964,0.1959755837877929,10.736740981235037,1103.9727199588142,6,2,4,33.33333333333333,702.3010430608184,283.76953046821416,2.4748994083404074,1.2374497041702037,44.92066070812996,1208.3877419144108,-396.2375027094186,24.0,43,2,3
QCOM,10000,9605.753281211953,-394.24671878804656,-3.9424671878804607,-1.9949737068721163,50.068517803902424,-54.010984991782884,-0.6169837845326361,-0.20979292836489347,-0.20829288463707205,18.792183409649137,2222.8534767652236,9,2,7,22.22222222222222,1048.7400935415487,355.9609865530205,2.946222010724028,0.8417777173497223,-43.80519097644955,1339.1511837496014,-701.8081218593352,17.22222222222222,52,1,3
AMZN,10000,9279.629989624023,-720.3700103759766,-7.203700103759769,-3.676322671601717,50.068517803902424,-57.272217907662196,-0.7040626680167841,-0.4449213015572561,-0.3553781801557263,16.190953497947408,1775.540512084961,10,3,6,30.0,635.9802652994791,425.8718083699544,1.4933608020068887,0.7466804010034443,-107.31618626912436,1371.4805908203125,-651.8897705078125,18.11111111111111,53,2,2
PLTR,10000,16953.633207321167,6953.633207321167,69.53633207321165,30.2744615688745,50.068517803902424,19.46781426930923,0.47565336219774956,1.275556200822988,0.5974425982480467,54.51451847307619,16209.389694213867,28,13,15,46.42857142857143,2347.9743777055005,1571.3355801900227,1.4942539374189938,1.2950200790964612,248.34404311861306,4103.518936157227,-3376.921371459961,8.107142857142858,21,4,7
AMD,10000,11064.051399230957,1064.051399230957,10.640513992309565,5.196367742985508,50.068517803902424,-39.42800381159286,0.22194655615267134,0.41773456086123256,0.12347095592556254,25.471950346584425,2552.9387969970703,14,4,9,28.57142857142857,1406.8052463531494,576.881106906467,2.4386398332529247,1.0838399258901887,-10.11357740371949,2021.850357055664,-1240.800537109375,10.0,20,3,5
TSLA,10000,12524.138595581055,2524.1385955810547,25.241385955810536,11.936338650604883,50.068517803902424,-24.827131848091888,0.8940154299996447,1.0367873389980622,0.4501609329786455,24.345769866560563,3990.860595703125,17,7,10,41.17647058823529,1596.4055873325892,865.070051574707,1.84540614303618,1.291784300125326,148.4787409165325,2989.6197509765625,-1651.8408203125,8.294117647058824,27,2,3
GOOG,10000,14532.452249542379,4532.452249542379,45.32452249542378,20.5954223919095,50.068517803902424,-4.743995308478645,0.5286636397316329,2.522339262189949,1.394161885249673,17.969241162297912,1865.8381882308513,11,5,5,45.45454545454545,1365.6610450038881,421.08168518330285,3.24322119212902,3.24322119212902,391.0741012654203,2268.040363215793,-787.98795386345,18.9,35,5,4
AAPL,10000,10319.069806458465,319.0698064584649,3.1906980645846517,1.5859939857672423,50.068517803902424,-46.87781973931777,0.07113490529313761,0.10339333447100144,0.14938182782647952,30.859804269873333,3826.777561060866,9,4,5,44.44444444444444,694.1340276354649,491.49326081667806,1.412296124838159,1.129836899870527,35.452200717607695,1359.0988843072582,-656.4067577909391,22.22222222222222,40,2,3
BBD-B.TO,10000,15657.481147766113,5657.481147766113,56.57481147766112,25.129857139557664,49.23432539466974,7.340486082991383,0.6713837706090523,1.5299731385044175,0.8428926915196941,36.977650165129205,4516.919845581055,18,9,8,50.0,985.6778708563911,658.0674324035645,1.4978371855544392,1.685066833748744,163.80521922641333,2580.469696044922,-1690.6202087402344,9.588235294117647,24,4,4
NVDA,10000,16154.372210826761,6154.372210826761,61.543722108267616,27.160460027754475,50.068517803902424,11.475204304365192,1.3129414946334055,2.468200684158849,1.3844683775965156,24.934650777491953,3429.9728412687364,14,8,5,57.14285714285714,1310.3230268345253,896.5842129036771,1.4614611856603117,2.3383378970564985,364.5056383752956,1906.828026194316,-1434.8849978582,15.76923076923077,38,4,3
XOM,10000,7408.999465440204,-2591.0005345597956,-25.910005345597952,-13.950110282080331,50.068517803902424,-75.97852314950038,-0.7771270991140313,-0.731865448099903,-3.3933144632747587,35.40268967863765,3592.15001417622,10,1,8,10.0,67.80711265008749,413.9607659218066,0.16380081938223012,0.020475102422778765,-365.78397806461726,67.80711265008749,-1151.5216388715899,14.777777777777779,36,1,8
CVX,10000,10791.862331490243,791.8623314902434,7.918623314902429,3.891758488884589,50.068517803902424,-42.149894489,0.5040880258169146,0.7512893923202407,0.4652701452611721,10.540044084007349,1102.0308370964594,8,4,3,50.0,375.8446928870061,294.8320079326724,1.2747757461016025,1.6997009948021369,40.50634247716684,1180.0179684524865,-519.6031332298487,27.857142857142858,62,3,1
COP,10000,7220.153833670169,-2779.8461663298312,-27.798461663298312,-15.05601808851782,50.068517803902424,-77.86697946720074,-0.9971138955624224,-0.7555905693110813,-3.8891224971659586,36.79037668329277,3680.5649194650678,13,2,10,15.384615384615385,121.51219397209408,359.4770960157807,0.3380248569904988,0.06760497139809976,-285.47874370995385,186.42972610710632,-690.2702860341501,8.833333333333334,53,2,10
EOG,10000,6826.390143669658,-3173.609856330342,-31.736098563303415,-17.409378768556493,50.068517803902424,-81.80461636720584,-1.5286230726635406,-0.9426588319558059,-6.4317269726519415,33.666579559285644,3464.636759987088,10,0,10,0.0,0.0,317.36098563303415,0.0,0.0,-317.36098563303415,0.0,-487.4470362143115,9.3,16,0,10
SLB,10000,7500.128666606813,-2499.8713333931873,-24.998713333931878,-13.421477368874069,50.068517803902424,-75.0672311378343,-0.41029744082395575,-0.6532272252641189,-1.9386752015572384,38.26955210543186,3841.080119853751,10,1,8,10.0,889.6996688842773,460.99013987590024,1.9299754852105662,0.24124693565132077,-325.9211589998825,889.6996688842773,-806.1577360549718,12.333333333333334,27,1,8
UNH,10000,7613.172964386687,-2386.8270356133125,-23.868270356133124,-12.770151056594282,50.068517803902424,-73.93678816003555,-1.3827132723022517,-0.714141295888862,-0.8810453877371767,33.422336018848036,3403.0419454097664,11,3,7,27.27272727272727,798.0895687539954,689.2836664244288,1.1578535915321821,0.49622296779950653,-283.6364204666768,1059.2821778100206,-2135.3234581393244,15.8,49,1,3
LLY,10000,9605.777899933479,-394.2221000665213,-3.9422210006652136,-1.994847868035221,50.068517803902424,-54.01073880456764,-1.526983238279837,-0.1364443896297389,-0.12021692506476069,28.892510797717566,3308.0753155983502,14,5,8,35.714285714285715,530.860408581956,361.46554228610034,1.468633511301001,0.9178959445631256,-42.77770269036591,1208.9249524317836,-528.9425573797624,11.307692307692308,27,2,4
JNJ,10000,12437.881163115855,2437.881163115855,24.37881163115856,11.54943703676732,50.068517803902424,-25.689706172743865,1.2420049735831533,4.129212602857407,1.1385329149684218,5.903985572040652,646.6374041552681,8,5,2,62.5,492.3335163592934,450.24459704691424,1.0934801207797584,2.733700301949396,138.86672383196554,854.6145633708173,-567.3854131988865,24.857142857142858,55,3,1
JPM,10000,10749.120892113078,749.1208921130783,7.491208921130776,3.6854124234352303,50.068517803902424,-42.577308882771646,0.163106349659861,0.3684192704312,0.37761494346582325,20.33337971806693,2057.5081670660984,12,5,6,41.66666666666667,508.0694874095889,319.87109082247827,1.5883570037642345,1.3236308364701952,25.10415010754977,1114.0371430262187,-530.2015629591232,22.272727272727273,76,5,5
V,10000,10023.532284137538,23.532284137538227,0.23532284137537385,0.11782620050981851,50.068517803902424,-49.83319496252705,-0.07382805366027108,0.019666457962701746,0.03105702644050483,11.96569518627469,1359.4382539978924,7,4,3,57.14285714285714,203.3792361992669,263.3282202198432,0.7723412098766813,1.029788279835575,3.3617548767911245,459.25440245737946,-472.9195556640625,20.571428571428573,49,3,2
