symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
SCHD,10000,9833.790340212456,-166.2096597875443,-1.6620965978754398,-0.8345305047545493,49.35948120057962,-51.02157779845506,-0.8363088146469495,-0.23576099797581246,-0.24136306048042813,7.049921794299327,743.6705842081556,9,3,6,33.33333333333333,284.7668031221124,170.08501152564693,1.6742615975845274,0.8371307987922637,-18.467739976393858,417.5860564297559,-261.8135812158332,26.444444444444443,59,1,2
COST,10000,10631.958408491048,631.9584084910475,6.319584084910468,3.111388354977773,49.35948120057962,-43.039897115669156,0.16448399340023095,0.3246429231161721,-0.006467754018990938,19.466261652187722,2405.5788729657324,9,2,6,22.22222222222222,663.4702542042862,222.54872360278992,2.9812359444867598,0.9937453148289198,-25.65561742343968,1140.9107310744535,-281.6008635716912,13.375,34,1,5
AI,10000,10295.479469299316,295.4794692993164,2.954794692993157,1.466642150508335,49.35948120057962,-46.40468650758647,0.05556255124834627,0.11484415358287557,0.11792316949544843,25.728734121940942,2573.910343170166,8,2,6,25.0,1507.9049463272097,453.3884038925171,3.325856888665998,1.108618962888666,36.93493366241461,1731.8402252197266,-818.3000373840332,5.25,22,2,5
ADBE,10000,7430.0906982421875,-2569.9093017578125,-25.69909301757812,-13.802026136096524,49.35948120057962,-75.05857421815774,-1.3865002172576555,-0.9293165562497594,-2.28690894259807,27.65375570331638,2821.7892150878906,8,1,7,12.5,273.9996337890625,406.272705078125,0.6744229439099858,0.09634613484428368,-321.23866271972656,273.9996337890625,-1220.0,10.375,29,1,4
MSFT,10000,9685.202106882301,-314.79789311769855,-3.147978931176987,-1.5865755758783573,49.35948120057962,-52.50746013175661,-0.28558692489790144,-0.18283328371292265,-0.19893651244860397,17.21775634747016,1834.3691653142378,11,4,7,36.36363636363637,460.8129313796443,308.2928026623248,1.4947249089184085,0.8541285193819477,-28.617990283426934,1221.4924070922789,-493.6634605678322,15.545454545454545,42,2,3
QCOM,10000,8568.179515782156,-1431.8204842178438,-14.318204842178439,-7.4355385918431605,49.35948120057962,-63.67768604275806,-1.0330130963060709,-0.8258975993946571,-1.0745349133743893,17.33653766843854,1796.9555440286258,11,1,10,9.090909090909092,1099.9417565315389,253.1762240749384,4.344569718386999,0.4344569718386999,-130.16549856525864,1099.9417565315389,-481.9152273150487,8.181818181818182,30,1,6
AMZN,10000,13197.819351196289,3197.819351196289,31.978193511962893,14.881762482981987,49.35948120057962,-17.38128768861673,0.915616326368263,3.049689031255969,1.535241486483442,10.485722702944946,1164.3503112792969,9,5,3,55.55555555555556,594.7198974609375,201.6268564860026,2.9496065545327013,4.916010924221168,240.78800681785305,1271.9401245117188,-279.5,12.0,23,3,1
PLTR,10000,14870.509353637695,4870.509353637695,48.70509353637695,21.94469793163496,49.35948120057962,-0.6543876642026731,1.3145311590389808,2.500352756967049,1.120421736869807,19.479288832611235,3515.7505798339844,8,4,4,50.0,1896.9663219451904,679.3389835357666,2.792370772058478,2.792370772058478,608.8136692047119,3220.4803161621094,-1388.0501556396484,8.0,20,2,2
AMD,10000,13169.081832885742,3169.081832885742,31.69081832885743,14.756619995910224,49.35948120057962,-17.668662871722194,0.42817709638106893,1.662372144893572,0.853317387087326,19.06361245657562,2004.8096923828125,7,2,5,28.57142857142857,2546.3804931640625,384.73583068847677,6.618516628948667,2.647406651579467,452.7259761265344,3343.0408325195312,-654.929443359375,7.571428571428571,19,2,4
TSLA,10000,6920.838592529297,-3079.161407470703,-30.79161407470703,-16.80842234619362,49.35948120057962,-80.15109527528665,-1.6340415166054287,-0.9312379037237615,-3.6038988093227617,33.065249977025125,3373.2703399658203,12,1,11,8.333333333333332,14.819686889648438,281.27100857821375,0.05268828438650651,0.004789844035136955,-256.5967839558919,14.819686889648438,-955.4202270507812,3.9166666666666665,19,1,11
GOOG,10000,11707.871960651415,1707.871960651415,17.07871960651415,8.202920296318329,49.35948120057962,-32.280761594065474,0.4313371802230456,1.5914113732667443,1.0801971041003062,10.73180693151393,1117.0875016318878,8,3,4,37.5,800.6491780540782,180.16871179811497,4.443885789399617,3.3329143420497127,187.63799689645748,1244.5745331262046,-307.2071882405086,15.428571428571429,39,2,3
AAPL,10000,9121.764619510874,-878.2353804891263,-8.782353804891263,-4.492070384125313,49.35948120057962,-58.14183500547089,-1.3348483716176611,-0.7415142490760704,-1.403103589918346,11.843809900934621,1200.677035669436,8,2,6,25.0,210.30081286916115,216.47283437124156,0.9714882399909096,0.3238294133303032,-109.77942256114088,336.29922877205144,-470.81967965322906,10.75,28,1,3
BBD-B.TO,10000,10151.850410461426,151.85041046142578,1.518504104614249,0.7563914124628868,49.35948120057962,-47.84097709596537,-0.20549119907448926,0.04697530968982179,0.05532211238124615,32.32557942972466,3441.6396560668945,13,4,9,30.76923076923077,1097.1401138305664,470.7455605400933,2.330643570109937,1.0358415867155275,11.680800804725038,1213.0000000000005,-1020.0,5.846153846153846,15,2,5
NVDA,10000,10808.412638026672,808.4126380266716,8.08412638026672,3.9635158987357144,49.35948120057962,-41.2753548203129,0.4880336447175605,0.4881657533590058,0.21196639720714394,16.56020793068929,1791.1038212130843,8,2,5,25.0,1544.471900595011,508.2982736482951,3.0385149442070927,1.2154059776828372,4.894269912531399,1880.4576092740615,-921.439208400789,5.428571428571429,12,1,2
XOM,10000,8571.97379949169,-1428.0262005083096,-14.280262005083099,-7.415045501487172,49.35948120057962,-63.639743205662725,-1.5539452955973578,-0.6408400662329977,-2.2560548967421505,22.283659773374808,2331.6869310602497,10,2,8,20.0,222.2952227814854,234.07708075891043,0.9496667596023215,0.23741668990058037,-142.80262005083128,314.3974690322679,-352.36585095325495,13.3,49,1,7
CVX,10000,10209.081279579128,209.08127957912802,2.090812795791286,1.039998414386023,49.35948120057962,-47.268668404788336,-0.04409804439684272,0.1450283857774794,0.10932103132705034,14.416576345262998,1600.0212156378966,10,2,8,20.0,1213.2469880923013,277.17658707568427,4.377162591157163,1.0942906477892909,20.908127957912853,1216.2531680183488,-434.640388840234,20.9,61,1,3
COP,10000,6577.041606272398,-3422.958393727602,-34.22958393727602,-18.901038192388686,49.35948120057962,-83.58906513785564,-1.3511526803063612,-1.0,-6.10328817413697,34.22958393727602,3422.958393727602,13,0,13,0.0,0.0,263.3044918252005,0.0,0.0,-263.3044918252005,0.0,-731.9264204283745,7.230769230769231,14,0,13
EOG,10000,8508.35783655802,-1491.6421634419803,-14.916421634419807,-7.7592398309835104,49.35948120057962,-64.27590283499943,-0.7511658896685236,-0.6586698240783102,-1.2696669814282842,22.646280562940092,2490.9294614250866,9,2,6,22.22222222222222,261.6508234348149,291.42064680120285,0.8978458675006102,0.29928195583353673,-168.51587563764332,422.70484050731693,-837.4975439072678,15.625,60,1,5
