Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2024-05-17,455.6725158691406,457.07834528802215,453.534087715028,455.85074087487834,1985900
2024-05-20,455.068603515625,457.60303005852916,454.19738872661156,454.8904087304398,1397200
2024-05-21,454.51422119140625,455.7913443047377,451.0788805654131,453.3361052565751,2166000
2024-05-22,451.9599609375,457.8802395601864,450.62346981384707,454.31619273403317,1713700
2024-05-23,446.7030334472656,453.47470776912763,445.9407355490761,451.9599915420368,2084600
2024-05-24,446.6733093261719,449.9106657455516,445.82191407551744,447.99004132808886,2162100
2024-05-28,440.63421630859375,446.12879715371355,437.9809932744596,445.50508520039347,2670800
2024-05-29,438.05029296875,440.1194129217204,437.38697211648355,437.6938731967533,1876900
2024-05-30,437.68402099609375,439.753141078442,436.2683120259736,437.7929077417575,2189900
2024-05-31,442.6044006347656,442.8716928342344,434.8724140739371,438.26814590021644,3917100
2024-06-03,438.76312255859375,440.5550406439685,433.51607460905694,439.0502343030772,2123800
2024-06-04,440.32733154296875,440.43624850068323,436.9118105574863,438.9314119320722,2096600
2024-06-05,442.1984558105469,443.0993697291146,437.8919005650134,442.3370416834625,2157000
2024-06-06,444.1983337402344,445.28735238662364,440.18879942029207,444.0102291461875,1887100
2024-06-07,445.2972412109375,448.47516938208804,442.7925135485056,444.9606409565781,1664700
2024-06-10,444.7626037597656,445.67342750514814,439.9313434858868,443.94090762405835,1954500
2024-06-11,444.5546875,444.7625814157168,440.66392008652826,443.3666618418373,1777300
2024-06-12,438.5750427246094,447.9801508643019,437.18903283078356,446.9802296992652,2738900
2024-06-13,440.5550537109375,440.7035493718858,434.9317964562037,438.57503099762994,2916600
2024-06-14,440.1887512207031,440.5154416724721,436.79301954252674,438.91162812010884,2161500
2024-06-17,443.6340026855469,444.85172760810985,437.2682365092863,438.0107450739038,2351900
2024-06-18,445.614013671875,446.6931526776364,442.2381014084289,442.59449100784553,2636500
2024-06-20,447.9900817871094,449.9404055124135,443.8815101830529,446.5545531287341,3006800
2024-06-21,450.3066711425781,450.75215812495406,445.7625226458498,447.67323731112083,5007800
2024-06-24,452.3955993652344,458.4445847095513,450.38587743849325,450.38587743849325,2597100
2024-06-25,451.0986633300781,455.7121198235471,449.2671362991835,453.90041235571255,2299400
2024-06-26,447.861328125,450.1383420878455,446.881226581138,448.2276274812819,2451400
2024-06-27,438.3275451660156,444.2181250517657,437.5850366197152,444.08941873636695,3313800
2024-06-28,436.7534484863281,443.82211442477285,434.3378181668229,440.19869915826627,4105000
2024-07-01,433.2388000488281,438.05027033937284,431.1993793311503,436.39693829093744,3149700
2024-07-02,440.2085266113281,440.31744356696294,430.65492343289503,430.65492343289503,2061300
2024-07-03,443.7032775878906,444.8022058920565,439.8422393828793,440.87185964179855,3192400
2024-07-05,445.0002136230469,445.45564061931117,439.8422626989893,442.6439816617451,2220700
2024-07-08,441.78265380859375,446.10899856085973,440.55504940641725,444.79229676298473,1802700
2024-07-09,440.91021728515625,443.7656481110947,439.0164909380474,442.84358096133843,1608400
2024-07-10,429.9444580078125,433.68231851059073,425.39354817026964,430.9061624496331,4760900
2024-07-11,432.70074462890625,434.03921542147623,426.44449202091033,428.3183995425091,4032600
2024-07-12,436.3592834472656,438.4612418160065,433.59308214903143,433.6723870603511,2645600
2024-07-15,440.21612548828125,440.61271054082476,435.0009427877093,436.57738879538215,1727700
2024-07-16,439.75018310546875,443.34925265270107,435.9528361366488,443.131126308702,2846600
2024-07-17,447.31512451171875,447.6720419934315,438.2926705481354,438.6297693666977,2925000
2024-07-18,444.8958740234375,451.548680907409,443.6664513598566,444.92561714408873,3339900
2024-07-19,439.9087829589844,447.3944281686681,439.7898104654134,447.37460950557323,2121700
2024-07-22,444.12255859375,445.02480700323105,439.4725253912326,441.61412102403915,2111700
2024-07-23,437.95556640625,444.9157295325563,437.3507492262537,444.23160744342147,2385500
2024-07-24,428.7645568847656,432.1454693209617,425.2051252037866,430.30133526485474,3764800
2024-07-25,425.9388732910156,433.9698496047135,425.89920570650924,430.2418833561571,2384300
2024-07-26,434.4457702636719,437.0236188035706,428.4274922693419,428.5960568222695,2039600
2024-07-29,437.5390930175781,439.1453122935984,431.7092296097001,435.06039878961207,2248600
2024-07-30,443.63671875,444.905809023683,439.23455524433433,439.98805773785,2266900
2024-07-31,459.7581481933594,469.9604629174005,453.64074729747443,458.0627296789853,4313600
2024-08-01,458.4692077636719,463.51582563541217,455.2766483532735,461.49320265144905,2590100
2024-08-02,458.08251953125,462.77221998047355,454.70157691773977,456.29787176073063,3808100
2024-08-05,438.2331848144531,457.36869412982134,435.84371970074113,451.12239613252524,4496700
2024-08-06,444.4794921875,451.5685827679762,438.3422420944524,439.4427982025725,2758900
2024-08-07,446.00640869140625,453.0260890698115,445.2132384854583,446.69053085347554,2059800
2024-08-08,451.69744873046875,452.3815708420347,447.1862367843471,448.3859164659693,1585400
2024-08-09,452.88720703125,454.88998120061046,449.59549362784594,451.69742162405583,1760200
2024-08-12,451.8065185546875,454.55290115249915,450.02187062775226,453.86877905375707,1760000
2024-08-13,455.4452209472656,455.7228637743598,451.01334429402493,454.2356470963593,1816100
2024-08-14,456.2384033203125,456.6151697050668,452.18326296927205,455.3460794002363,1654100
2024-08-15,464.71551513671875,465.0030521485265,460.04566353287055,461.13629507981466,2130500
2024-08-16,464.8841247558594,466.2523689876974,462.0683313799399,464.01161943367265,1921900
2024-08-19,463.0003356933594,466.1433035228486,461.5527562519359,465.0031100507705,1690800
2024-08-20,465.1220397949219,465.6673707149186,461.5428196213518,464.14048649942754,1763300
2024-08-21,464.0116271972656,465.09233440748716,460.56127343566203,464.54703370074776,2105900
2024-08-22,464.8245849609375,466.8967697336706,462.72265706735163,465.48885807914706,1538200
2024-08-23,462.46490478515625,466.33166213135297,457.96358712701897,466.29199454748147,1986300
2024-08-26,464.6461486816406,466.520025900879,463.0201106431483,464.1107422229298,1434400
2024-08-27,470.9420471191406,471.4477104973429,464.22975306953435,467.06536515376166,1635900
2024-08-28,467.7792053222656,472.34993362999063,464.8741826835655,470.95194632683615,1445300
2024-08-29,476.7025146484375,477.81299520192994,470.4264734810047,470.4264734810047,1893400
2024-08-30,479.2208251953125,481.60036561044694,475.5622700822628,477.7336086536662,2982100
2024-09-03,478.01123046875,482.5422908819777,475.94897013763574,478.35825372003086,2063700
2024-09-04,479.0225830078125,482.0267594323744,477.0792647985413,477.98151319766714,2156300
2024-09-05,473.2918395996094,480.0339069581449,469.07805884708796,479.02261047024047,2293500
2024-09-06,472.0624084472656,476.3455998336694,470.66442110902966,473.0439617934201,2116200
2024-09-09,482.93890380859375,485.04083184175306,475.48300186394346,476.4050689291029,2343600
2024-09-10,483.8609313964844,484.16828705979435,478.2194209196052,482.94878886585417,2234100
2024-09-11,484.0196228027344,484.94168989047733,473.76774603118605,482.37376603178933,2480000
2024-09-12,487.9161376953125,488.67959498498533,478.8837892376403,482.80013874745,2299100
2024-09-13,489.15545654296875,492.61573452447055,487.26176063483337,488.8976928986808,2204700
2024-09-16,493.4684143066406,494.07323150704815,489.1852531460979,491.0789491441321,1589200
2024-09-17,496.7204284667969,497.4640367795614,493.60720406458927,494.3508123773538,2202800
2024-09-18,490.5435485839844,497.52353026262165,489.82968338304414,497.00797271763713,2193800
2024-09-19,488.8085021972656,496.859297459959,482.10610228058863,495.7389226535616,3517200
2024-09-20,488.5407409667969,489.32401686799307,483.58335217504873,485.47707832439653,3470200
2024-09-23,492.9032897949219,493.44859048388986,487.11303279541863,488.9571972439765,2191300
2024-09-24,483.2562255859375,489.0464526360191,480.29171647790423,488.48130299610887,4143700
2024-09-25,485.27880859375,485.72495543755565,479.41917131843206,480.62877541302817,3483200
2024-09-26,487.08331298828125,489.42321645063976,484.83266915911884,486.8156248612011,3073700
2024-09-27,489.43310546875,491.7729785041615,486.2108026862127,486.8453327310274,2177200
2024-09-30,489.5917053222656,490.7715662761505,485.9331499707235,487.5889311416585,2862400
2024-10-01,492.1497802734375,493.7857126752654,488.9076283374938,493.02228562307977,3748100
2024-10-02,491.3466491699219,491.6837479831745,485.5068305402643,488.73905777542285,1736500
2024-10-03,490.7517395019531,492.85366747522335,488.7985271385841,491.3267832794046,1382200
2024-10-04,493.4585266113281,494.7969974718048,488.27308668330784,491.33674953790234,1935600
2024-10-07,487.1130065917969,494.2814016187597,486.56770593216265,493.0916162154672,1990500
2024-10-08,492.82391357421875,493.2899093133836,487.34104298744927,488.3027775871086,1750100
2024-10-09,496.348388671875,497.1426133789499,492.01978221444466,494.78969162906685,1707500
2024-10-10,494.4322509765625,497.11281228461473,492.2679629769309,496.39799795564943,1491000
2024-10-11,498.6417541503906,499.29700317962045,492.8934565331209,492.93317685851605,1919900
2024-10-14,503.010009765625,505.1246700292342,498.4332045893819,500.72656085612545,2127000
2024-10-15,503.5759582519531,506.20686176097263,500.3692160593103,501.9775408347211,2885900
