symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
LRCX,10000,13303.626493745058,3303.626493745058,33.036264937450575,15.406952763044114,49.115207123903474,-16.0789421864529,0.47518877908157237,1.3211261046499294,0.6740083603100658,25.006140459395805,2811.6904168602814,7,3,4,42.857142857142854,1903.6162055312755,601.8055307121915,3.1631749932216295,2.3723812449162223,471.94664196357996,4871.316976165969,-647.0982821136497,38.285714285714285,115,2,2
LULU,10000,11541.200210571289,1541.200210571289,15.412002105712897,7.460657486864797,49.115207123903474,-33.70320501819057,0.5468762452603989,0.4896010295293409,-0.2859803717556568,31.478696277515247,4006.019744873047,8,1,6,12.5,3128.209503173828,692.0182266235352,4.52041490068383,0.7534024834473051,-214.48976039886475,3128.209503173828,-1124.3401794433594,21.285714285714285,106,1,3
LUV,10000,9865.138869286598,-134.8611307134015,-1.3486113071340178,-0.6792809742634187,49.115207123903474,-50.463818431037495,-0.13654998090902437,-0.034505536157050556,-2.2947812931883775,39.08391108591583,4115.232455272611,8,3,4,37.5,85.33855956598173,849.6177671527515,0.10044347336563976,0.07533260502422982,-499.0091446332266,188.76315535869628,-1287.5691521752146,37.42857142857143,86,2,2
LVS,10000,15352.573253447741,5352.573253447741,53.52573253447741,24.01135932937162,49.115207123903474,4.410525410573939,0.6796808509832843,2.2708406437883477,0.38811367552983816,23.570888904464336,2506.896516050281,8,2,5,25.0,2414.546089394096,673.1589242612446,3.586888626699749,1.4347554506798996,98.76732915259049,2835.6843118516135,-1002.8018813325648,35.857142857142854,82,1,3
LW,10000,5528.387452275754,-4471.612547724246,-44.716125477242464,-25.73460689048519,49.115207123903474,-93.83133260114593,-1.6905794051667247,-0.9011501408915823,-2.2967888257192017,49.62117126564626,5207.464390482095,8,1,7,12.5,399.71271849702674,695.9036094601818,0.5743794299430164,0.08205420427757378,-558.9515684655307,399.71271849702674,-1859.6712291356212,30.5,64,1,6
LYB,10000,8499.51264225422,-1500.4873577457802,-15.0048735774578,-7.837050993106187,49.115207123903474,-64.12008070136127,-0.5021257583529641,-0.5912960886661816,-3.0089626302827424,25.37624358602659,2590.162092128927,8,1,6,12.5,293.80391913921,424.74183050011925,0.6917235318999915,0.11528725531666524,-334.9236117952031,293.80391913921,-530.1998758473188,27.428571428571427,74,1,4
LYV,10000,13244.04027557373,3244.0402755737305,32.440402755737296,15.147182311207574,49.115207123903474,-16.67480436816618,0.9187888465598096,2.155853074019543,0.7378691179377854,15.047594451904297,2138.1104431152344,6,2,4,33.33333333333333,3024.520175933838,701.2500190734863,4.313041131791953,2.1565205658959763,540.6733792622881,3640.0101394653325,-883.19970703125,41.166666666666664,112,1,2
MA,10000,10645.676917262695,645.6769172626955,6.456769172626964,3.190750466098269,49.115207123903474,-42.65843795127651,0.2957843794147623,0.37514339235449556,0.12143146909739849,17.211469811856833,2016.7770659367943,7,3,3,42.857142857142854,495.1768556686164,442.3712605263634,1.1193694072246494,1.1193694072246494,-40.56492501422926,732.7700375781628,-583.3795166015625,47.5,103,3,2
MAA,10000,11398.74234080811,1398.7423408081104,13.987423408081101,6.792739964754979,49.115207123903474,-35.127783715822375,0.2973458090342372,0.6532185704131943,0.5043246593424421,21.413082912252996,3011.938841791467,5,2,2,40.0,1182.6357573414712,585.2640986561656,2.02068734449446,2.02068734449446,121.89584374288916,2297.6831027821063,-587.8153479904568,68.75,130,2,2
MAR,10000,13806.786653251414,3806.7866532514145,38.06786653251415,17.57781249125523,49.115207123903474,-11.047340591389322,1.2233852591374035,2.0605529577850237,0.4772319895935329,18.474587798721235,2496.033472332254,6,2,3,33.33333333333333,1390.1356678858456,473.190104274863,2.9377953074824963,1.9585302049883306,147.91848644537305,2777.498296936908,-746.6488593894715,52.8,139,2,2
MAS,10000,12038.516360438112,2038.5163604381123,20.38516360438112,9.760730197277145,49.115207123903474,-28.730043519522354,1.7138622463345774,1.211030590583523,0.44121435085357635,16.832905595356376,1805.3687978501075,7,2,4,28.57142857142857,1449.7540520727543,464.5504805206599,3.12076752228928,1.56038376114464,82.393671648887,2003.5932491433043,-608.3796912719657,44.333333333333336,85,1,3
MCD,10000,9285.42662200701,-714.5733779929906,-7.145733779929908,-3.653311678376925,49.115207123903474,-56.26094090383338,-0.6174936348345602,-0.3752059014346155,-0.49722888213253885,19.044833123913815,2066.899105727385,7,1,5,14.285714285714285,1470.5963247180705,472.99937403689194,3.1090872534714395,0.621817450694288,-195.34284564332592,1470.5963247180705,-614.6125060029128,38.333333333333336,82,1,3
MCHP,10000,6195.798456010301,-3804.2015439896986,-38.04201543989698,-21.361631945657333,49.115207123903474,-87.15722256380045,-0.783328736065235,-0.7239916330744753,-3.9075248887050362,52.5448274565677,5997.93795878634,10,1,8,10.0,98.5942468409994,572.716977020036,0.17215177966961187,0.021518972458701484,-505.5858546339324,98.5942468409994,-1251.4831139902342,23.22222222222222,47,1,8
MCK,10000,9779.748825906026,-220.25117409397353,-2.202511740939739,-1.1117746903818504,49.115207123903474,-51.317718864843215,-0.18685608143706625,-0.09021882585590439,-0.21411271582525723,24.412994960248586,2879.30281984646,6,2,3,33.33333333333333,667.6256646480466,546.1109418852315,1.2225092255858008,0.8150061503905339,-141.53207304080553,1005.2106733943162,-602.2574590975753,50.8,79,1,2
MCO,10000,15748.145934165223,5748.145934165223,57.48145934165223,25.60519515745203,49.115207123903474,8.366252217748759,1.5784881996476192,4.1594076650003915,1.9157330246363902,13.819626247586584,1972.712233714672,5,3,1,60.0,1654.4985067682553,542.290365076544,3.050945790885891,9.152837372657673,775.7829580303355,2413.7657862376764,-542.290365076544,87.75,158,2,1
MDLZ,10000,7669.130028403065,-2330.869971596935,-23.30869971596935,-12.472714230160541,49.115207123903474,-72.42390683987283,-1.243370006733291,-0.9102295293202717,-2.248239447147649,25.607496752358156,2634.013722898143,8,1,7,12.5,593.2754360907577,417.73505824109935,1.4202194055456645,0.20288848650652352,-291.35874644961723,593.2754360907577,-565.185796838371,31.875,71,1,5
